epoch,loss,accuracy,val_loss,val_accuracy,lr
0,1.0022304058074951,0.7402597665786743,3.445222854614258,0.20725108683109283,1e-04
1,0.6234578490257263,0.8447356224060059,0.6063774228096008,0.8533549904823303,1e-04
2,0.5613879561424255,0.8746521472930908,0.5240055322647095,0.8847402334213257,1e-04
3,0.4980604648590088,0.894016683101654,0.892575740814209,0.8306276798248291,1e-04
4,0.4778943359851837,0.8973793983459473,0.5774586200714111,0.8701298832893372,1e-04
5,0.5071329474449158,0.8919295072555542,0.4533606767654419,0.911796510219574,1e-04
6,0.43129396438598633,0.9088590145111084,0.614112138748169,0.8766233921051025,1e-04
7,0.43540459871292114,0.9053803086280823,0.5733434557914734,0.850649356842041,1e-04
8,0.42785248160362244,0.9083951711654663,0.5503613352775574,0.8641774654388428,1e-04
9,0.4016073942184448,0.9169758558273315,0.6941313743591309,0.8647186160087585,1e-04
10,0.4352037310600281,0.907583475112915,0.7189316749572754,0.8603895902633667,1e-04
11,0.42437663674354553,0.9080473184585571,0.4741341769695282,0.8928571343421936,1e-04
12,0.391485333442688,0.9133812785148621,0.7197888493537903,0.8533549904823303,1e-04
13,0.36849159002304077,0.9172077775001526,0.5215244889259338,0.8809523582458496,1e-04
14,0.32582539319992065,0.9314703345298767,0.3315928280353546,0.9323592782020569,1e-05
15,0.3035880923271179,0.9415584206581116,0.32161206007003784,0.9312770366668701,1e-05
16,0.2987021505832672,0.9390074014663696,0.32790523767471313,0.9301947951316833,1e-05
17,0.2906271815299988,0.9442254304885864,0.3258092403411865,0.9318181872367859,1e-05
18,0.2878310978412628,0.9459647536277771,0.3231325149536133,0.9345238208770752,1e-05
19,0.28442490100860596,0.9423701167106628,0.3159133195877075,0.9361472129821777,1e-05
20,0.2792816162109375,0.9460806846618652,0.31545358896255493,0.9339826703071594,1e-05
21,0.27996373176574707,0.9442254304885864,0.3156631290912628,0.9345238208770752,1e-05
22,0.27551376819610596,0.9451530575752258,0.3209887742996216,0.9339826703071594,1e-05
23,0.2711038291454315,0.9442254304885864,0.3190607726573944,0.9345238208770752,1e-05
24,0.2701798975467682,0.9477040767669678,0.3083837926387787,0.9383116960525513,1e-05
25,0.2687745988368988,0.9470083713531494,0.3264688551425934,0.9339826703071594,1e-05
26,0.2657488286495209,0.9472402334213257,0.3272276520729065,0.9339826703071594,1e-05
27,0.2606624960899353,0.9488636255264282,0.31383922696113586,0.939393937587738,1e-05
28,0.261530339717865,0.9487476944923401,0.3211270868778229,0.9377705454826355,1e-05
29,0.2594810724258423,0.9475881457328796,0.32915353775024414,0.9361472129821777,1e-05
30,0.2565630078315735,0.9471243023872375,0.3317136764526367,0.9345238208770752,1e-05
31,0.25528478622436523,0.9490955471992493,0.32377713918685913,0.9345238208770752,1e-05
32,0.2516034245491028,0.9474721550941467,0.31854304671287537,0.9366883039474487,1e-05
33,0.24869677424430847,0.9483998417854309,0.3191565275192261,0.9372294545173645,1e-05
34,0.2468211054801941,0.9474721550941467,0.3276354670524597,0.9372294545173645,1e-05
35,0.24688315391540527,0.9488636255264282,0.29871174693107605,0.9388527870178223,1e-05
36,0.24168351292610168,0.9508348703384399,0.30186209082603455,0.939393937587738,1e-06
37,0.2436894327402115,0.9486317038536072,0.30551859736442566,0.9383116960525513,1e-06
