epoch,loss,accuracy,val_loss,val_accuracy,lr
0,1.6084696054458618,0.4199907183647156,2.9350855350494385,0.2922077775001526,1e-04
1,1.2788605690002441,0.5601809024810791,1.742929458618164,0.4875541031360626,1e-04
2,1.1402549743652344,0.6182745695114136,1.5184409618377686,0.47456708550453186,1e-04
3,1.0321063995361328,0.6728895902633667,1.1523258686065674,0.6341991424560547,1e-04
4,0.9502620100975037,0.7041975855827332,1.2756386995315552,0.5946969985961914,1e-04
5,0.8929742574691772,0.7360853552818298,1.1449912786483765,0.6801947951316833,1e-04
6,0.8321129083633423,0.7560296654701233,1.221448302268982,0.6872294545173645,1e-04
7,0.8031951785087585,0.7660018801689148,0.8166162967681885,0.786796510219574,1e-04
8,0.7614170908927917,0.779800534248352,0.9857625365257263,0.7045454382896423,1e-04
9,0.7227747440338135,0.7991651296615601,1.0781804323196411,0.6991341710090637,1e-04
10,0.6819499731063843,0.8150510191917419,0.8371508121490479,0.7570346593856812,1e-04
11,0.6715246438980103,0.8196892142295837,0.7836025357246399,0.8084415793418884,1e-04
12,0.6415280103683472,0.8294295072555542,2.1686394214630127,0.5773809552192688,1e-04
13,0.6187442541122437,0.8406772017478943,1.0274995565414429,0.7007575631141663,1e-04
14,0.5971015095710754,0.847866415977478,0.6544725894927979,0.8398268222808838,1e-04
15,0.5779475569725037,0.8587662577629089,0.5872217416763306,0.863095223903656,1e-04
16,0.5602598190307617,0.8574907183647156,0.7532092928886414,0.8176407217979431,1e-04
17,0.5538637638092041,0.8594619631767273,0.7260340452194214,0.8111472129821777,1e-04
18,0.5356988310813904,0.8686224222183228,0.5934988856315613,0.8528138399124146,1e-04
19,0.5328322052955627,0.8663033246994019,0.6396815776824951,0.8376623392105103,1e-04
20,0.5071858763694763,0.8783627152442932,0.484824538230896,0.898809552192688,1e-04
21,0.49776461720466614,0.8820732831954956,0.7691318392753601,0.8127705454826355,1e-04
22,0.49007782340049744,0.8871753215789795,0.9632059931755066,0.7781385183334351,1e-04
23,0.48731788992881775,0.8846243023872375,1.1124862432479858,0.7083333134651184,1e-04
24,0.4758789837360382,0.8906539678573608,0.5447837114334106,0.8668830990791321,1e-04
25,0.46162569522857666,0.8923933506011963,0.5541616082191467,0.8733766078948975,1e-04
26,0.46039167046546936,0.8955241441726685,0.5586769580841064,0.8722943663597107,1e-04
27,0.4721263647079468,0.8901901841163635,0.8613331913948059,0.7824675440788269,1e-04
28,0.4595400094985962,0.8916975855827332,0.5525431632995605,0.8804112672805786,1e-04
29,0.4067651927471161,0.9139610528945923,0.39510253071784973,0.9264069199562073,1e-05
30,0.38627558946609497,0.9208024144172668,0.38400202989578247,0.9350649118423462,1e-05
31,0.3795822262763977,0.9245129823684692,0.3807557225227356,0.9318181872367859,1e-05
32,0.3705628216266632,0.9286873936653137,0.39447900652885437,0.9312770366668701,1e-05
33,0.37271156907081604,0.9276437759399414,0.3839688003063202,0.9312770366668701,1e-05
34,0.3697102665901184,0.9275278449058533,0.3782418370246887,0.9345238208770752,1e-05
35,0.36624443531036377,0.9286873936653137,0.3936043083667755,0.9307359457015991,1e-05
36,0.3680988550186157,0.9288033246994019,0.3890558183193207,0.927489161491394,1e-05
37,0.36092036962509155,0.929151177406311,0.3812084197998047,0.9323592782020569,1e-05
38,0.36144590377807617,0.9286873936653137,0.36401838064193726,0.9350649118423462,1e-05
39,0.3585551381111145,0.9335575103759766,0.3778168857097626,0.9312770366668701,1e-06
40,0.35013917088508606,0.9354128241539001,0.37739014625549316,0.9312770366668701,1e-06
