epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.4572124183177948,1.4044795036315918,0.5719696879386902,1.1982837915420532,0.0010000000474974513
1,0.5248144865036011,1.22370183467865,0.5600649118423462,1.141778826713562,0.0010000000474974513
2,0.5480055809020996,1.177823781967163,0.5811688303947449,1.1045438051223755,0.0010000000474974513
3,0.5556586384773254,1.1349670886993408,0.5984848737716675,1.0699890851974487,0.0010000000474974513
4,0.5636595487594604,1.1321682929992676,0.5741341710090637,1.108767032623291,0.0010000000474974513
5,0.5687615871429443,1.1057530641555786,0.5714285969734192,1.1179977655410767,0.0010000000474974513
6,0.5823283791542053,1.0868538618087769,0.5968614816665649,1.0980252027511597,0.0010000000474974513
7,0.5880101919174194,1.0900460481643677,0.6163420081138611,1.0544447898864746,0.0010000000474974513
8,0.5936920046806335,1.0906572341918945,0.6255411505699158,1.0231068134307861,0.0010000000474974513
9,0.595199465751648,1.0645990371704102,0.6109307408332825,1.0957305431365967,0.0010000000474974513
10,0.5925324559211731,1.0803979635238647,0.5936146974563599,1.1222224235534668,0.0010000000474974513
11,0.6013450622558594,1.0700618028640747,0.588203489780426,1.1217131614685059,0.0010000000474974513
12,0.6008812785148621,1.058137059211731,0.6109307408332825,1.1262139081954956,0.0010000000474974513
13,0.6085343360900879,1.0676590204238892,0.5925324559211731,1.166286826133728,0.0010000000474974513
14,0.6116651296615601,1.0486186742782593,0.6314935088157654,1.0412113666534424,0.0010000000474974513
15,0.6153756976127625,1.051242470741272,0.6163420081138611,1.0987372398376465,0.0010000000474974513
16,0.6153756976127625,1.0303690433502197,0.6163420081138611,1.0852106809616089,0.0010000000474974513
17,0.6195501089096069,1.0449514389038086,0.6222943663597107,1.0594069957733154,0.0010000000474974513
18,0.6226809024810791,1.0221161842346191,0.6406926512718201,1.0794121026992798,0.0010000000474974513
19,0.6131725311279297,1.0383802652359009,0.6282467246055603,1.0565273761749268,0.0010000000474974513
20,0.6245361566543579,1.0325429439544678,0.6379870176315308,1.0540863275527954,0.0010000000474974513
21,0.621985137462616,1.0185983180999756,0.636904776096344,1.0507382154464722,0.0010000000474974513
22,0.6269712448120117,1.0259839296340942,0.6444805264472961,1.0223008394241333,0.0010000000474974513
23,0.6340445280075073,1.0037094354629517,0.6228355169296265,1.0695691108703613,0.0010000000474974513
24,0.6336966753005981,1.0084149837493896,0.6401515007019043,1.031601071357727,0.0010000000474974513
25,0.6398422718048096,1.000659704208374,0.6358225345611572,1.034362554550171,0.0010000000474974513
26,0.6379870176315308,0.9952613115310669,0.6461039185523987,1.0239204168319702,0.0010000000474974513
27,0.6378710865974426,1.0016233921051025,0.637445867061615,1.0365886688232422,0.0010000000474974513
28,0.6406539678573608,0.9948258399963379,0.6406926512718201,1.0281020402908325,0.0010000000474974513
29,0.644132673740387,0.9733750820159912,0.648809552192688,1.056776523590088,0.0010000000474974513
30,0.6396104097366333,0.983063280582428,0.6596320271492004,0.9897925853729248,0.0010000000474974513
31,0.6485389471054077,0.9764907956123352,0.6412337422370911,1.0356075763702393,0.0010000000474974513
32,0.6435528993606567,0.9765339493751526,0.6558441519737244,0.9991971850395203,0.0010000000474974513
33,0.655148446559906,0.9565733075141907,0.6558441519737244,1.0076029300689697,0.0010000000474974513
34,0.6480751633644104,0.9584406018257141,0.6336579918861389,1.0665500164031982,0.0010000000474974513
35,0.6515538096427917,0.9706743359565735,0.6585497856140137,1.0043789148330688,0.0010000000474974513
36,0.64958256483078,0.9764494895935059,0.6553030014038086,1.018635630607605,0.0010000000474974513
37,0.6539888978004456,0.9620209336280823,0.6525974273681641,1.0302891731262207,0.0010000000474974513
38,0.6484230160713196,0.9678849577903748,0.6553030014038086,1.0281070470809937,0.0010000000474974513
39,0.6793830990791321,0.9020096659660339,0.6672077775001526,0.9795330762863159,0.00010000000474974513
40,0.6878478527069092,0.8764532804489136,0.6720778942108154,0.9647864103317261,0.00010000000474974513
41,0.6880797743797302,0.8665804266929626,0.6747835278511047,0.9499112963676453,0.00010000000474974513
42,0.6912105679512024,0.8634390830993652,0.673160195350647,0.9378910064697266,0.00010000000474974513
43,0.6977040767669678,0.8396162390708923,0.676948070526123,0.9365401268005371,0.00010000000474974513
44,0.6936456561088562,0.844958484172821,0.6726190447807312,0.9225646257400513,0.00010000000474974513
45,0.6987476944923401,0.8383339047431946,0.6812770366668701,0.92226243019104,0.00010000000474974513
46,0.7007189393043518,0.8324669599533081,0.6785714030265808,0.9232224822044373,0.00010000000474974513
47,0.7079081535339355,0.8192300200462341,0.6839826703071594,0.9113262891769409,0.00010000000474974513
48,0.7021104097366333,0.8224965333938599,0.6807359457015991,0.9132537841796875,0.00010000000474974513
49,0.706516683101654,0.8132628798484802,0.6834415793418884,0.9107338190078735,0.00010000000474974513
