epoch,loss,accuracy,val_loss,val_accuracy,lr
0,1.7629239559173584,0.21834415197372437,1.7512954473495483,0.2110389620065689,1e-04
1,1.75579035282135,0.22008349001407623,1.750632405281067,0.22781385481357574,1e-04
2,1.7556052207946777,0.217996284365654,1.748059630393982,0.2110389620065689,1e-04
3,1.7525995969772339,0.2199675291776657,1.7485297918319702,0.22781385481357574,1e-04
4,1.7535113096237183,0.2259972244501114,1.7471152544021606,0.22781385481357574,1e-04
5,1.7543514966964722,0.22031539678573608,1.7472655773162842,0.22781385481357574,1e-04
6,1.7547919750213623,0.22309833765029907,1.7477096319198608,0.22781385481357574,1e-04
7,1.7529267072677612,0.22333024442195892,1.7485318183898926,0.22781385481357574,1e-04
8,1.7510805130004883,0.22391001880168915,1.7464892864227295,0.22781385481357574,1e-04
9,1.7523375749588013,0.217996284365654,1.7459704875946045,0.22781385481357574,1e-04
10,1.7505475282669067,0.22217068076133728,1.7460335493087769,0.22781385481357574,1e-05
11,1.7504491806030273,0.22622913122177124,1.745924949645996,0.22781385481357574,1e-05
